                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4416,                 1.7515,                 2.9747,                0.81238,                 0.7135,                0.79015,                0.46944,                 1.4768,                 1.0342,                 2.0036,               0.070146,              0.0033172,              0.0033172
                      2,                 1.5055,                0.99696,                 1.8072,                0.84213,                0.80697,                0.88402,                0.56356,                 1.2279,                0.88652,                 1.5394,               0.040124,              0.0066285,              0.0066285
                      3,                 1.3267,                0.92127,                 1.5105,                0.86268,                0.80273,                0.89566,                0.58236,                  1.153,                0.92487,                 1.4082,                0.01008,              0.0099179,              0.0099179
                      4,                  1.211,                0.84665,                 1.3428,                0.86961,                0.82583,                0.90773,                0.61528,                 1.0443,                 0.9288,                 1.2704,               0.009901,               0.009901,               0.009901
                      5,                   1.12,                0.74774,                 1.2557,                0.88794,                0.83568,                0.91928,                0.65166,                 0.9829,                0.74997,                 1.2226,               0.009901,               0.009901,               0.009901
                      6,                 1.0617,                0.68765,                 1.2091,                0.87139,                0.85311,                0.92931,                0.68946,                0.89204,                0.62907,                 1.1445,               0.009868,               0.009868,               0.009868
                      7,                 1.0357,                0.65765,                 1.1834,                0.89107,                0.86535,                0.93668,                0.68537,                0.92326,                 0.6412,                 1.1655,               0.009835,               0.009835,               0.009835
                      8,                 1.0027,                0.62601,                 1.1643,                0.89915,                 0.8677,                0.93575,                0.68818,                0.90332,                0.61811,                 1.1433,               0.009802,               0.009802,               0.009802
                      9,                 0.9972,                0.61062,                 1.1593,                 0.8871,                0.86194,                0.92973,                0.67838,                 0.9272,                0.57872,                 1.1551,               0.009769,               0.009769,               0.009769
                     10,                0.97505,                0.60373,                 1.1445,                0.89492,                0.86299,                0.93202,                0.70104,                0.88013,                 0.5455,                 1.1185,               0.009736,               0.009736,               0.009736
                     11,                0.95933,                 0.5866,                 1.1436,                0.89662,                0.86157,                0.93518,                0.69562,                0.87893,                0.58617,                 1.1224,               0.009703,               0.009703,               0.009703
                     12,                0.96013,                0.57904,                  1.134,                0.90436,                0.86816,                0.94134,                0.71291,                 0.8444,                0.51404,                 1.1007,                0.00967,                0.00967,                0.00967
                     13,                0.94822,                0.56214,                 1.1255,                0.89322,                  0.879,                0.94253,                 0.7217,                0.83423,                0.51921,                 1.0957,               0.009637,               0.009637,               0.009637
                     14,                0.94257,                0.56159,                 1.1133,                0.90337,                0.86705,                0.93888,                0.70974,                0.84767,                0.52392,                 1.1048,               0.009604,               0.009604,               0.009604
                     15,                0.92413,                0.54991,                 1.1177,                0.89835,                0.86252,                 0.9372,                0.69841,                0.87439,                 0.5216,                 1.1147,               0.009571,               0.009571,               0.009571
                     16,                 0.9366,                0.55244,                 1.1099,                0.90275,                0.88041,                0.94162,                0.71086,                0.84262,                0.49725,                 1.0971,               0.009538,               0.009538,               0.009538
                     17,                0.91251,                 0.5421,                 1.0989,                0.89095,                0.88559,                0.94325,                0.72086,                0.84285,                0.52712,                  1.098,               0.009505,               0.009505,               0.009505
                     18,                0.91516,                0.53448,                 1.1066,                0.90234,                0.87868,                0.94386,                0.71252,                0.85633,                0.53691,                 1.1074,               0.009472,               0.009472,               0.009472
                     19,                0.89815,                0.52933,                 1.0923,                0.91292,                0.87241,                0.94536,                0.72268,                 0.8328,                0.48842,                 1.0889,               0.009439,               0.009439,               0.009439
                     20,                0.90336,                0.52932,                 1.0948,                 0.8897,                0.87347,                 0.9365,                0.70525,                0.86753,                0.52484,                 1.1177,               0.009406,               0.009406,               0.009406
                     21,                0.90334,                0.52581,                 1.0908,                0.89142,                0.89313,                0.94407,                0.71709,                0.83896,                0.50582,                 1.0933,               0.009373,               0.009373,               0.009373
                     22,                0.88691,                0.52293,                 1.0863,                0.90588,                0.87288,                0.94509,                0.72003,                0.83266,                0.51096,                 1.0964,                0.00934,                0.00934,                0.00934
                     23,                0.88175,                0.51023,                 1.0823,                0.89761,                 0.8833,                  0.946,                0.72198,                0.83112,                0.49755,                 1.0894,               0.009307,               0.009307,               0.009307
                     24,                0.88587,                0.50947,                 1.0803,                0.89693,                0.87853,                0.94222,                0.72303,                0.82613,                0.47562,                 1.0827,               0.009274,               0.009274,               0.009274
                     25,                0.87504,                0.50455,                 1.0791,                0.90733,                0.87053,                0.94307,                0.71446,                0.84229,                0.51196,                 1.1003,               0.009241,               0.009241,               0.009241
                     26,                0.87576,                0.50679,                 1.0802,                0.88839,                0.89937,                0.94688,                0.73378,                0.80855,                0.45499,                 1.0761,               0.009208,               0.009208,               0.009208
                     27,                 0.8654,                0.49648,                 1.0719,                0.89361,                0.88277,                0.94063,                0.72137,                0.82379,                0.48272,                 1.0866,               0.009175,               0.009175,               0.009175
                     28,                 0.8748,                0.49386,                 1.0739,                 0.8976,                0.87487,                0.94165,                0.72138,                 0.8128,                0.47575,                  1.081,               0.009142,               0.009142,               0.009142
                     29,                0.86971,                0.49908,                 1.0806,                0.90367,                0.89454,                0.95084,                0.73212,                0.81785,                0.45932,                 1.0845,               0.009109,               0.009109,               0.009109
                     30,                0.87003,                0.49501,                 1.0747,                0.89509,                 0.8823,                0.94253,                0.73117,                0.80971,                0.46567,                 1.0793,               0.009076,               0.009076,               0.009076
                     31,                0.85756,                0.48316,                 1.0672,                0.89446,                0.88185,                0.94288,                0.72127,                 0.8321,                0.47473,                 1.0955,               0.009043,               0.009043,               0.009043
                     32,                 0.8561,                0.48375,                 1.0672,                0.90093,                0.88889,                0.94667,                0.72491,                0.82324,                0.46651,                 1.0947,                0.00901,                0.00901,                0.00901
                     33,                0.86789,                0.48599,                 1.0667,                0.89773,                0.88029,                 0.9439,                0.73029,                0.80803,                0.46642,                 1.0794,               0.008977,               0.008977,               0.008977
                     34,                0.85419,                0.48257,                 1.0687,                0.90834,                0.88324,                0.94715,                0.73723,                0.79874,                0.44705,                 1.0708,               0.008944,               0.008944,               0.008944
                     35,                0.85418,                0.47579,                 1.0695,                0.89211,                0.86911,                0.94012,                0.72317,                0.82606,                0.46525,                 1.0856,               0.008911,               0.008911,               0.008911
                     36,                0.85479,                0.47545,                 1.0607,                0.91509,                  0.871,                0.95069,                0.73598,                0.80735,                0.45001,                 1.0761,               0.008878,               0.008878,               0.008878
                     37,                0.84261,                0.47153,                 1.0577,                0.90559,                0.88513,                0.94755,                0.73636,                0.81437,                0.44256,                 1.0728,               0.008845,               0.008845,               0.008845
                     38,                0.84843,                0.46965,                 1.0563,                0.90955,                0.88371,                0.94963,                0.73687,                0.79765,                0.45923,                 1.0684,               0.008812,               0.008812,               0.008812
                     39,                0.84752,                0.46486,                 1.0545,                0.91383,                0.88136,                0.95237,                0.74047,                0.80087,                0.43925,                 1.0672,               0.008779,               0.008779,               0.008779
                     40,                0.83435,                 0.4626,                 1.0536,                0.90865,                 0.8903,                0.94785,                0.73191,                0.80728,                0.45188,                  1.075,               0.008746,               0.008746,               0.008746
                     41,                0.84302,                0.46633,                 1.0526,                0.89607,                0.89302,                0.94675,                0.73466,                0.80866,                0.44978,                 1.0736,               0.008713,               0.008713,               0.008713
                     42,                0.83238,                0.45373,                 1.0507,                0.90449,                0.88748,                0.94692,                0.72765,                0.82137,                0.45589,                 1.0825,                0.00868,                0.00868,                0.00868
                     43,                0.83664,                0.45789,                 1.0485,                0.90702,                 0.8864,                0.95148,                0.73572,                0.81251,                0.44731,                 1.0792,               0.008647,               0.008647,               0.008647
                     44,                0.83233,                0.46038,                 1.0487,                0.88923,                0.89954,                0.94824,                0.73995,                0.79745,                0.44382,                 1.0653,               0.008614,               0.008614,               0.008614
                     45,                0.82881,                0.45567,                  1.048,                0.89283,                0.90209,                0.95001,                0.74111,                0.79758,                0.44346,                 1.0687,               0.008581,               0.008581,               0.008581
                     46,                0.83223,                 0.4567,                 1.0443,                0.89116,                0.89313,                0.94502,                0.73927,                 0.7927,                0.43653,                 1.0687,               0.008548,               0.008548,               0.008548
                     47,                0.83116,                0.45186,                 1.0525,                0.90015,                0.89127,                0.95277,                0.74478,                0.79327,                0.43583,                 1.0662,               0.008515,               0.008515,               0.008515
                     48,                0.83007,                0.44883,                 1.0435,                0.89597,                0.88653,                0.94641,                0.73798,                0.79797,                0.44479,                 1.0744,               0.008482,               0.008482,               0.008482
                     49,                0.81589,                 0.4498,                 1.0395,                0.90348,                0.88653,                0.94806,                0.74236,                0.79383,                0.43277,                 1.0687,               0.008449,               0.008449,               0.008449
                     50,                0.82239,                 0.4489,                 1.0447,                0.90966,                0.89126,                0.95002,                0.73896,                0.80028,                0.42743,                 1.0706,               0.008416,               0.008416,               0.008416
                     51,                0.82116,                0.44927,                 1.0485,                0.89764,                0.89407,                 0.9482,                0.73557,                0.80027,                 0.4513,                 1.0679,               0.008383,               0.008383,               0.008383
                     52,                0.82082,                0.44262,                 1.0441,                0.90728,                0.88512,                0.95121,                0.74638,                0.78939,                0.43169,                 1.0641,                0.00835,                0.00835,                0.00835
                     53,                0.81736,                 0.4392,                 1.0363,                0.90686,                0.88472,                0.94915,                0.74078,                 0.7933,                0.42394,                 1.0657,               0.008317,               0.008317,               0.008317
                     54,                0.81747,                0.43777,                  1.042,                0.89957,                0.88418,                0.94599,                0.73515,                0.79831,                0.44027,                 1.0725,               0.008284,               0.008284,               0.008284
                     55,                0.81202,                0.43557,                 1.0382,                0.90916,                0.87712,                0.95006,                0.74202,                0.79145,                0.43011,                  1.065,               0.008251,               0.008251,               0.008251
                     56,                0.80856,                0.43479,                 1.0397,                0.89375,                0.88795,                0.94638,                0.74017,                0.79467,                0.42988,                 1.0683,               0.008218,               0.008218,               0.008218
                     57,                0.82059,                0.43787,                 1.0419,                 0.8985,                0.90026,                0.95139,                  0.743,                0.79709,                0.42483,                 1.0619,               0.008185,               0.008185,               0.008185
                     58,                 0.8038,                0.42906,                 1.0356,                0.90553,                 0.9016,                0.95296,                0.74702,                0.78916,                0.41765,                 1.0668,               0.008152,               0.008152,               0.008152
                     59,                0.80609,                0.42737,                 1.0297,                0.89147,                0.89723,                0.94871,                0.73933,                0.79191,                 0.4283,                 1.0621,               0.008119,               0.008119,               0.008119
                     60,                0.80128,                0.42787,                 1.0386,                0.90186,                0.88559,                0.94742,                0.73529,                0.79878,                0.43533,                   1.07,               0.008086,               0.008086,               0.008086
                     61,                0.80698,                0.42741,                 1.0345,                0.88932,                0.89657,                0.94621,                0.73239,                 0.8075,                0.44459,                 1.0774,               0.008053,               0.008053,               0.008053
                     62,                0.79764,                0.42416,                  1.034,                0.88649,                0.90866,                0.95513,                0.74534,                 0.7917,                 0.4194,                 1.0661,                0.00802,                0.00802,                0.00802
                     63,                0.79858,                0.42047,                 1.0354,                 0.9064,                0.88444,                0.94835,                0.73411,                0.80892,                0.43587,                 1.0801,               0.007987,               0.007987,               0.007987
                     64,                0.79617,                0.41883,                 1.0295,                0.91258,                0.88983,                0.95355,                0.74368,                 0.7899,                0.42017,                  1.061,               0.007954,               0.007954,               0.007954
                     65,                0.80712,                0.42466,                 1.0309,                0.89752,                0.89454,                0.95367,                0.74404,                0.78952,                0.42125,                 1.0632,               0.007921,               0.007921,               0.007921
                     66,                0.79437,                  0.418,                 1.0412,                0.90795,                 0.8903,                0.95354,                0.74523,                 0.7966,                0.41489,                 1.0633,               0.007888,               0.007888,               0.007888
                     67,                0.79288,                0.42251,                 1.0302,                0.92196,                 0.8823,                0.95476,                0.74868,                0.78254,                0.40932,                  1.066,               0.007855,               0.007855,               0.007855
                     68,                0.79199,                 0.4154,                 1.0318,                0.90549,                0.89767,                0.95411,                0.74835,                0.78814,                0.41689,                 1.0665,               0.007822,               0.007822,               0.007822
                     69,                0.80065,                0.42171,                 1.0262,                0.91546,                  0.879,                0.95071,                0.74401,                0.79366,                0.41773,                 1.0676,               0.007789,               0.007789,               0.007789
                     70,                0.78514,                0.41322,                 1.0238,                0.91116,                0.87712,                0.94992,                0.74527,                0.78694,                0.41302,                 1.0667,               0.007756,               0.007756,               0.007756
                     71,                0.78372,                0.41154,                 1.0278,                0.90892,                0.88331,                0.95117,                0.74066,                0.79445,                0.43744,                 1.0716,               0.007723,               0.007723,               0.007723
                     72,                0.78142,                0.40703,                 1.0188,                0.90005,                0.89736,                0.95099,                0.74207,                0.79494,                0.42776,                 1.0674,                0.00769,                0.00769,                0.00769
                     73,                0.78845,                 0.4103,                 1.0288,                0.91808,                0.89266,                 0.9536,                 0.7474,                0.78797,                 0.4122,                  1.065,               0.007657,               0.007657,               0.007657
                     74,                0.78494,                0.40813,                 1.0289,                 0.9057,                 0.8999,                0.95515,                0.75115,                0.78935,                0.41615,                 1.0618,               0.007624,               0.007624,               0.007624
                     75,                0.77963,                0.41018,                  1.025,                0.91356,                0.88371,                0.94893,                0.74352,                0.78694,                0.41785,                  1.063,               0.007591,               0.007591,               0.007591
                     76,                0.78172,                0.40827,                 1.0256,                0.90677,                 0.8884,                0.95112,                0.74095,                0.79512,                   0.43,                 1.0663,               0.007558,               0.007558,               0.007558
                     77,                 0.7742,                 0.4048,                 1.0275,                0.91333,                0.89218,                0.95385,                0.74612,                0.79062,                0.42038,                  1.067,               0.007525,               0.007525,               0.007525
                     78,                0.78366,                0.40745,                 1.0189,                0.89747,                0.88601,                0.94639,                0.73502,                0.80238,                0.43679,                 1.0789,               0.007492,               0.007492,               0.007492
                     79,                0.77796,                0.40498,                 1.0242,                0.89884,                0.89943,                0.94957,                0.74089,                 0.7953,                0.42729,                 1.0792,               0.007459,               0.007459,               0.007459
                     80,                0.77899,                0.40007,                 1.0187,                0.91461,                0.88247,                0.94941,                0.74836,                0.78267,                 0.4128,                 1.0599,               0.007426,               0.007426,               0.007426
                     81,                 0.7705,                0.39975,                 1.0159,                0.91231,                0.88089,                0.94849,                0.74287,                0.79168,                0.41687,                 1.0665,               0.007393,               0.007393,               0.007393
                     82,                0.76565,                0.39876,                 1.0178,                0.89616,                0.89501,                0.95139,                0.74607,                0.79029,                0.41613,                 1.0621,                0.00736,                0.00736,                0.00736
                     83,                0.76839,                0.39717,                 1.0156,                0.89377,                0.87806,                 0.9445,                0.74331,                0.79069,                0.41279,                 1.0681,               0.007327,               0.007327,               0.007327
                     84,                0.77353,                0.39768,                 1.0179,                0.90066,                0.89216,                0.94909,                0.74407,                0.78834,                0.41966,                 1.0696,               0.007294,               0.007294,               0.007294
                     85,                0.76753,                0.39651,                 1.0066,                0.90606,                0.88999,                 0.9481,                0.74006,                0.80075,                 0.4149,                 1.0715,               0.007261,               0.007261,               0.007261
                     86,                0.76591,                0.39679,                 1.0147,                0.89731,                0.90093,                0.95023,                0.74254,                0.80122,                0.41678,                 1.0784,               0.007228,               0.007228,               0.007228
                     87,                0.76095,                0.38742,                 1.0145,                 0.9051,                0.89353,                0.94882,                0.73868,                0.80257,                 0.4259,                 1.0762,               0.007195,               0.007195,               0.007195
                     88,                0.76383,                0.39395,                 1.0148,                0.90647,                0.88465,                0.94668,                0.74148,                0.79383,                0.43307,                 1.0705,               0.007162,               0.007162,               0.007162
                     89,                0.75848,                0.39174,                 1.0122,                0.91893,                0.88842,                0.95406,                   0.75,                0.78724,                0.41194,                 1.0596,               0.007129,               0.007129,               0.007129
                     90,                0.76744,                 0.3909,                 1.0173,                0.90382,                0.88701,                0.94756,                0.74033,                0.79705,                0.41713,                 1.0687,               0.007096,               0.007096,               0.007096
                     91,                0.76099,                0.38884,                 1.0093,                0.90632,                0.88365,                0.94538,                0.73777,                0.79593,                0.41968,                 1.0733,               0.007063,               0.007063,               0.007063
                     92,                0.75114,                0.38805,                 1.0066,                0.91474,                0.88896,                 0.9518,                0.75179,                0.78199,                0.41399,                 1.0612,                0.00703,                0.00703,                0.00703
                     93,                0.74514,                0.38205,                  1.006,                0.90972,                0.88717,                0.94858,                0.74598,                0.79125,                0.41488,                 1.0667,               0.006997,               0.006997,               0.006997
                     94,                 0.7541,                0.38476,                 1.0012,                 0.9036,                0.89584,                0.94911,                0.74397,                0.79317,                0.42072,                  1.064,               0.006964,               0.006964,               0.006964
                     95,                0.74655,                0.38298,                0.99907,                0.90859,                0.88449,                0.94943,                 0.7425,                0.79616,                0.41947,                 1.0684,               0.006931,               0.006931,               0.006931
                     96,                0.74535,                0.38065,                0.99974,                0.91388,                0.89924,                0.94936,                0.74433,                 0.7902,                0.41061,                 1.0636,               0.006898,               0.006898,               0.006898
                     97,                 0.7459,                0.38202,                 1.0001,                0.89688,                0.89878,                0.94929,                0.74605,                0.78765,                0.42098,                 1.0624,               0.006865,               0.006865,               0.006865
                     98,                0.73673,                0.37661,                 1.0068,                0.90919,                0.88143,                0.94714,                0.74424,                0.78494,                0.42491,                  1.063,               0.006832,               0.006832,               0.006832
                     99,                0.73669,                0.37848,                 1.0028,                0.90906,                0.89595,                0.95132,                 0.7506,                 0.7875,                 0.4064,                 1.0698,               0.006799,               0.006799,               0.006799
                    100,                0.73934,                0.37659,                  1.002,                0.89892,                0.89606,                0.94918,                0.74733,                0.78531,                0.41578,                 1.0613,               0.006766,               0.006766,               0.006766
                    101,                 0.7495,                0.38147,                  1.008,                0.91283,                0.89241,                0.95114,                 0.7474,                0.79242,                0.41339,                 1.0682,               0.006733,               0.006733,               0.006733
                    102,                0.74536,                0.38076,                 1.0025,                 0.9048,                0.89124,                0.95125,                0.75033,                0.78086,                0.40513,                 1.0616,                 0.0067,                 0.0067,                 0.0067
                    103,                0.73953,                0.37721,                 1.0054,                0.89937,                0.90048,                0.95221,                0.74671,                0.78806,                0.41094,                 1.0627,               0.006667,               0.006667,               0.006667
                    104,                0.73396,                 0.3749,                 1.0018,                 0.9043,                0.88527,                0.94634,                 0.7424,                0.79497,                0.42753,                 1.0687,               0.006634,               0.006634,               0.006634
                    105,                0.74052,                0.37666,                 1.0024,                0.90893,                0.88748,                0.95028,                0.74676,                0.79241,                0.41719,                 1.0633,               0.006601,               0.006601,               0.006601
                    106,                 0.7334,                0.37324,                 1.0028,                0.91152,                0.88701,                0.94853,                0.74808,                0.78862,                0.40898,                 1.0606,               0.006568,               0.006568,               0.006568
                    107,                0.72654,                0.37035,                 0.9967,                0.89953,                0.88519,                 0.9434,                0.74076,                0.79524,                0.41829,                 1.0652,               0.006535,               0.006535,               0.006535
                    108,                0.73312,                0.36812,                0.99682,                0.90036,                0.89454,                0.95139,                0.75051,                0.78582,                0.40929,                 1.0613,               0.006502,               0.006502,               0.006502
                    109,                0.73169,                0.37183,                0.99918,                0.90487,                 0.8957,                0.94989,                0.74697,                0.79371,                0.40799,                 1.0683,               0.006469,               0.006469,               0.006469
                    110,                0.72737,                0.36914,                0.99745,                0.91159,                0.88839,                0.94964,                0.74951,                   0.79,                0.41313,                 1.0647,               0.006436,               0.006436,               0.006436
                    111,                0.72388,                0.36997,                0.99545,                0.90319,                0.88724,                0.94603,                0.74302,                0.79403,                0.42112,                 1.0702,               0.006403,               0.006403,               0.006403
                    112,                0.73424,                0.36943,                 0.9919,                0.90104,                0.89161,                 0.9501,                0.74652,                0.79335,                0.41115,                  1.068,                0.00637,                0.00637,                0.00637
                    113,                0.73135,                0.37032,                0.99057,                0.90952,                 0.8945,                0.95114,                0.75057,                0.78531,                0.40442,                 1.0609,               0.006337,               0.006337,               0.006337
                    114,                0.71875,                0.36459,                0.99044,                0.90634,                0.89077,                0.95013,                0.74885,                0.79257,                0.41437,                 1.0699,               0.006304,               0.006304,               0.006304
                    115,                 0.7317,                0.36917,                 0.9985,                0.90635,                0.89925,                0.95085,                0.74789,                0.79246,                0.40913,                   1.07,               0.006271,               0.006271,               0.006271
                    116,                0.71462,                0.35975,                0.98941,                0.89687,                0.89666,                0.94996,                0.74634,                0.79178,                0.41607,                 1.0688,               0.006238,               0.006238,               0.006238
                    117,                0.71768,                0.36277,                0.98729,                0.90826,                0.89494,                0.94618,                0.74201,                0.79165,                0.41755,                 1.0689,               0.006205,               0.006205,               0.006205
                    118,                0.72302,                 0.3638,                0.99029,                0.89917,                0.89972,                0.94798,                0.74708,                0.79107,                0.41809,                 1.0673,               0.006172,               0.006172,               0.006172
                    119,                0.70187,                0.35772,                0.99079,                0.90292,                0.89595,                0.95012,                0.75061,                0.79146,                0.41086,                 1.0654,               0.006139,               0.006139,               0.006139
                    120,                0.72532,                0.36274,                0.99187,                0.89892,                0.88559,                0.94659,                0.74784,                0.78776,                 0.4086,                 1.0646,               0.006106,               0.006106,               0.006106
                    121,                0.71345,                0.35861,                0.98999,                0.90474,                0.88981,                0.94802,                 0.7472,                0.79833,                0.41192,                 1.0755,               0.006073,               0.006073,               0.006073
                    122,                0.71036,                 0.3553,                0.98469,                0.91893,                0.88052,                0.94839,                0.74766,                0.79693,                 0.4096,                 1.0674,                0.00604,                0.00604,                0.00604
                    123,                0.70389,                0.35318,                0.98028,                0.91124,                0.88559,                0.94545,                0.74801,                0.79837,                0.41165,                 1.0722,               0.006007,               0.006007,               0.006007
                    124,                0.70608,                0.35483,                0.98139,                0.90663,                0.88795,                0.94463,                0.74432,                 0.8024,                0.40887,                 1.0777,               0.005974,               0.005974,               0.005974
                    125,                0.70269,                0.35261,                 0.9838,                0.91984,                0.87518,                0.94632,                0.74746,                0.80094,                0.41151,                 1.0797,               0.005941,               0.005941,               0.005941
                    126,                0.70788,                0.35443,                0.98271,                 0.8921,                0.90019,                0.94595,                0.74373,                0.79962,                0.40402,                 1.0789,               0.005908,               0.005908,               0.005908
                    127,                0.70497,                0.35338,                0.98312,                0.90345,                 0.9016,                0.95062,                0.75143,                0.79092,                0.40088,                 1.0705,               0.005875,               0.005875,               0.005875
                    128,                0.69808,                0.35166,                0.98159,                0.90324,                0.89501,                0.94989,                0.74705,                0.79682,                0.41157,                 1.0742,               0.005842,               0.005842,               0.005842
                    129,                0.70939,                0.35458,                0.97825,                0.91039,                0.89266,                0.94986,                0.75026,                0.80188,                0.40538,                 1.0757,               0.005809,               0.005809,               0.005809
                    130,                0.69796,                 0.3525,                0.97844,                0.91147,                 0.8936,                0.95043,                0.75008,                0.79755,                0.40207,                 1.0722,               0.005776,               0.005776,               0.005776
                    131,                0.70087,                 0.3513,                 0.9813,                0.89412,                0.90254,                0.95026,                0.74881,                0.79822,                0.40645,                  1.075,               0.005743,               0.005743,               0.005743
                    132,                0.69423,                0.34928,                0.98191,                0.90655,                0.88324,                0.94614,                0.74443,                0.79559,                0.41768,                 1.0737,                0.00571,                0.00571,                0.00571
                    133,                0.69338,                0.34704,                0.97702,                0.89566,                0.89719,                0.94803,                0.74959,                0.79687,                0.41022,                 1.0723,               0.005677,               0.005677,               0.005677
                    134,                0.69024,                0.34561,                0.97643,                0.89755,                0.89508,                 0.9479,                0.74778,                0.79839,                0.40807,                 1.0778,               0.005644,               0.005644,               0.005644
                    135,                0.68722,                0.34127,                0.97703,                0.90734,                0.90364,                0.95089,                0.74795,                0.79817,                0.40751,                 1.0787,               0.005611,               0.005611,               0.005611
                    136,                 0.6939,                0.34662,                0.97441,                0.91527,                   0.89,                0.95099,                0.74738,                0.80153,                0.40612,                 1.0776,               0.005578,               0.005578,               0.005578
                    137,                 0.6852,                0.34342,                0.97105,                0.89841,                0.89407,                0.94912,                0.74887,                0.79329,                0.40533,                 1.0742,               0.005545,               0.005545,               0.005545
                    138,                0.68978,                0.34473,                 0.9763,                 0.8976,                0.89553,                 0.9475,                0.74846,                0.79414,                0.41194,                 1.0731,               0.005512,               0.005512,               0.005512
                    139,                0.69194,                0.34392,                0.97127,                0.91351,                0.89512,                0.95291,                0.75004,                0.79587,                0.40279,                 1.0751,               0.005479,               0.005479,               0.005479
                    140,                0.68308,                0.34521,                0.97305,                0.91465,                0.88512,                0.94999,                0.74858,                 0.7987,                0.41076,                 1.0765,               0.005446,               0.005446,               0.005446
                    141,                 0.6803,                0.34028,                 0.9719,                0.90328,                0.89454,                0.95084,                0.74992,                 0.7982,                0.39871,                 1.0743,               0.005413,               0.005413,               0.005413
                    142,                 0.6777,                0.33896,                0.97064,                0.90401,                0.89126,                0.94851,                0.74719,                0.79858,                0.41629,                  1.075,                0.00538,                0.00538,                0.00538
